Map,degree_sd,centralization_degree,bridges_ratio,assortativity,moran_i_degree,getis_gi_degree_mean,rosval_mean,orientation_entropy,d_value,c1,c2,c5,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
chile21,0.42988267205770014,2.246712924622215,1.4397609100345392,-1.242984035697527,-1.1051261131240433,1.173627532534287,-1.5153018053509761,0.311078326361191,-2.3512255314189194,-1.660899174160659,-1.5450571241449433,-0.7788230242232321,-1.3439649469977908,-0.8190412856890272,-1.0502144138727074,-1.3124335673178245,0.9324945816672198,1.1687874502124722,-1.1479454829211557,-1.6742628650634048,-1.737066662212719,-0.9800455216593581
chile23,-0.2497634075735874,-0.3492505644540777,-0.28526990579519157,0.2040176879240488,-0.1379317223349856,-0.2015329196855565,0.8624239985573067,0.7484458026566185,-0.15384411657649735,0.057316223274833954,0.3383482346395482,-0.9091289668391029,-0.8729415697116054,-0.5046170327424444,-0.06801980672672867,-0.28043194349718864,-0.4382151004209627,0.33935935316550947,-0.17473700025064454,0.32792259118776734,-0.08113350156024161,-0.10465293996246855
chile39,-0.13489364763590614,-0.1733977269829445,-0.7260912138877781,0.5513782711630132,0.7727496645162825,0.10808024623841016,-0.6725725866961474,-0.4092573505377092,-0.9337599464966413,0.7993119554368766,0.5633222597744698,1.0454747269499383,-0.9522062219862155,-1.0417120285863162,-0.9129752739688114,-0.6808070481141002,-0.717507381686437,0.7874802822343444,-0.8040211433545406,-0.1312995903990391,-1.5716207608031492,-1.27425156359288
chile47,-1.1286911161876716,-1.0306376269271775,-0.9269295346021161,0.28434437453029304,-0.19121693191637248,-1.3944876897849554,0.319533145757308,0.1566160421297068,-1.1520978063260454,0.1208328823129099,0.6154406055316027,-0.4274827494602347,-1.5399014879659756,-1.3823069026514998,-1.032246980690322,-1.393204700064703,-1.4169262276527659,0.8077819746104999,-0.4057551774849404,1.4309002079935558,-0.3962064622014523,-1.1452102106692512
china10,1.193940620734101,0.04018664163490771,-0.19966893240149705,0.651287731222165,1.5258455197531675,-0.6029180133402819,-0.87784995840085,-2.3315502283700225,-0.49027142759982806,-0.028413840374196503,-0.13306288768105984,2.4040229504014046,-1.2138500206572713,-1.2574668002213842,-0.5973430719905872,-1.4697060185071238,-1.165272248321502,0.09490845509345276,-0.5319548933124004,-0.3753854403580796,-0.862512053477101,-1.1555637339037959
china19,0.046983472265425416,0.7470126097227637,-0.7028604266467816,1.4994056777900475,0.47804494572317013,-1.2973363052230849,-1.683500953354054,0.4206092210536385,-1.1239411488789588,-1.2608348290693667,-1.222838324372932,2.342632682222924,-1.0640633143881102,0.8669757888313628,1.5020919953302678,-0.9929472495629075,0.18755717287985865,0.9698024919548679,-0.8855076587519837,-0.4906412423699509,-1.2720048720967194,-1.328460055751391
china41,-0.5056096910711524,1.643179157184879,-0.37282521525836665,0.5591426218455838,0.5830812758099612,0.6481803884287212,-1.3040374165605721,-2.7148941828721944,-0.10018113051785982,-0.07367105574685923,-0.2527058150173217,2.4088361312798687,-0.554520323632664,0.3072730837459976,0.548145484223891,-0.2773774234907438,0.35566964027005116,0.30728784462205605,-0.48629213155992207,-0.7468530487554885,-0.8220207878433906,-1.0630678752430867
congo10,-0.02176433860636946,-0.679956337445908,-0.17071209850948868,-0.16727730511581254,-0.5858325271204492,-0.5380567514984932,1.6546452997929553,0.9991473301666396,0.24360671743604773,-0.916829386313252,-0.9313477045925435,-1.3228440496863871,-0.1479055851894448,-0.23389339835856632,0.7794266683967832,0.024173108402217182,-0.3093144031896607,-0.6549214548136008,0.8641775442836275,1.402764783671372,1.6152181739713558,1.8329246896516636
croatia07,-0.317640992991309,-0.6835416865593972,0.32979810986149516,-0.3688676805572891,0.6723688070589184,1.0700395342018574,0.4896562456701951,0.21437912074408325,0.20946840040012146,0.9518677761798152,0.8235073938101594,-0.5575507284815019,-0.46044778821152993,0.7227483614942077,1.4842316000711724,0.7997193605357107,-0.4038682347786382,-2.009903135870394,1.7647214508461402,0.03782111442827607,0.5635026168525238,0.4727360552533469
cuba02,-0.5169226219741067,-0.6893465375050462,-1.0462757286456572,1.257509759233979,0.9305923555711477,-0.8059991995814593,0.10506758724577613,-1.140742388506491,1.5913748075785805,0.10026724934821166,-0.09179434332100432,0.06283395650789703,-0.27664793042711533,-0.6410769668680179,-0.8296076484713961,0.1597009907629647,-0.2724355156164815,0.40089989468559456,-0.5342922615081631,0.5269133431242571,1.2439082401820845,0.9403232119554287
ecuador01,-0.7092424473243172,-0.6569076645734778,-0.6997577205957732,0.006650375627704483,0.3518062631469306,-0.3775696227036566,0.32044769871175577,0.4920167989032955,-1.0253284035502928,-1.230397232127249,-1.1063356084080915,-0.2324160840615236,-0.9660385617520061,-0.9661284784777093,-0.20398161587015246,-1.484678935894505,-1.3388241710893367,0.5015628857379183,-0.1281996964182235,0.6481472931818454,-0.6281306210849422,-1.084066173273222
ejypt04,-0.05222222949893725,-0.5747860967835603,-0.14446815700503396,-0.7330311147227045,0.316202981990454,0.5989356094772497,-0.5189711288798705,0.494997102823077,-0.2314860957594811,1.2309780647916007,1.3575360878314375,-0.38758699173702427,0.02549069148235525,-0.59618787666341,0.16974587616042722,-0.3389786349129701,-0.148395906312916,0.31582762498099115,-0.18513354748084582,-0.5799500645083023,-0.6987027561141074,-0.16343877923520234
eritrea02,-1.0799584907595645,-0.6301029116773925,-0.9075968839956633,0.7394133152552022,0.9554215429280929,-0.052125866154801116,0.5164529753682925,0.4855899278712077,-0.9970938018746914,1.0249622685705255,1.7871138787310434,-0.5415027969817272,-1.0641312229741806,-1.070654741628651,-0.3445592427123016,-0.942489205432273,-1.1109566413278702,-0.9984457315334557,0.6884966694596476,-0.37628099414116817,-0.12382648528147641,-0.715254008348991
germany08,0.11660150859129353,0.10779608206070274,-0.5981901902570765,0.7364972464452362,1.2219096638034195,1.4593676860535187,-0.5365595150427735,0.406507909906764,0.332216264172337,-1.0305695059883089,-1.0395744585511617,0.8198179343143315,-0.1189725145767082,-0.2836820619149931,-1.2197715286829078,-0.4588846374636872,-0.4305935878265683,1.070562811393455,-1.0493793384924925,-0.32919210234354407,-0.5388051714881326,-0.6495345028810713
germany17,-0.3237325711698218,-0.46107931061290525,-0.21496121706376747,0.003914915229782809,-0.5070353275298013,-1.7004877876880258,-0.37111996378128065,0.6807998346169185,1.0920279392138146,1.0084326714171983,1.164531468944847,-0.6859212894042266,1.557845070876819,0.4037757429972462,-1.2853666514592865,1.2466304442710912,0.9956933772470987,0.6439327394426552,-0.5367761423724499,0.09434843030255465,0.91206735034196,1.3791046497490551
greece06,-1.1313017925498923,-0.6997611230251812,-1.0963404456384986,0.9769144627121008,0.7072360801616001,-1.0403534968035033,0.9954648121721539,0.9523981442621537,1.5644119773641687,0.863711271695404,0.6159691999847511,-0.1367171646875816,-0.37508650167262375,-0.01710132133804128,-0.6044332250020962,0.9159618508797125,-0.2901207070069501,0.3937426770319924,-0.4525691855360431,2.106566888662309,1.6037147248389052,0.9889434322265467
greece22,-0.6196092255547613,-0.33303112798829365,-0.8358079568935547,0.8836889180637985,0.30444458826355764,0.720401603646409,0.7577969842673432,0.5730835858629432,1.0684442505307628,1.9624226630468873,1.6356817873743172,0.8346360184491595,0.16590235097555558,0.04061205455485329,-0.22499308342052085,0.5042602288959714,-0.31922416162470174,-0.9715923086742835,0.45437033504578656,0.8867500887339631,0.010964730754466677,-0.2986390065668932
