"Map","agent","final_alive","total_health","transport_rate","road_clear_rate","buried_rescue_rate","dist_per_rescue","dist_per_transport","total_buried_time","rsl21_rate"
"china41","concentration2_cluster_9_group_none",86.778,85.202,76.218,59.5386666666667,23.93,114043050.336522,621268486.832609,27262.652173913,0.419896265560166
"congo10","concentration2_cluster_9_group_none",83.811,83.1056666666667,36.1666666666667,31.6856666666667,2.876,150934092.166,359536333.9812,48749.2,0.362497512437811
"croatia07","concentration2_cluster_9_group_none",82.5043333333333,81.6813333333333,62.778,37.2,7.146,149806573.126522,553878717.137391,34002.5652173913,0.334915535444947
"cuba02","concentration2_cluster_9_group_none",82.7353333333333,81.624,80.9996666666667,39.0803333333333,12.5866666666667,124270940.846154,450688112.175385,37012.2307692308,0.33226912568306
"ecuador01","concentration2_cluster_9_group_none",93.0873333333333,91.2346666666667,81.4423333333333,91.3576666666667,50.3376666666667,56374137.5169231,498074462.248846,20598.9230769231,0.603115897435897
"ejypt04","concentration2_cluster_9_group_none",78.6933333333333,77.0416666666667,73.098,59.035,20.46,86558598.602,362247327.7072,45663.6,0.252241333333333
"eritrea02","concentration2_cluster_9_group_none",88.2736666666667,87.731,87.4283333333333,70.902,25.8456666666667,87743999.32,462418626.907308,18007.4615384615,0.482323076923077
"germany08","concentration2_cluster_9_group_none",86.6426666666667,84.9206666666667,75.2196666666667,73.4536666666667,30.0573333333333,86463484.8441667,454967740.52375,32101,0.410371747211896
"germany17","concentration2_cluster_9_group_none",78.9816666666667,77.998,70.805,34.947,11.3413333333333,145673854.08037,578134823.321852,54866.6666666667,0.265639871382637
"greece06","concentration2_cluster_9_group_none",83.139,82.324,74.718,40.661,11.1846666666667,153243217.244167,647337020.449167,50304.1666666667,0.346554580896686
"greece22","concentration2_cluster_9_group_none",84.3196666666667,83.4343333333333,67.6613333333333,54.6033333333333,16.9913333333333,102556087.463913,609798381.599565,47343.4782608696,0.369758620689655
"hukuoka01","concentration2_cluster_9_group_none",91.4626666666667,89.9593333333333,81.546,82.632,37.8353333333333,65275832.6854167,515499223.489583,28325.375,0.556987284287012
"hungary01","concentration2_cluster_9_group_none",83.306,81.787,75.72,55.096,18.6183333333333,87993462.2359259,500526845.568889,35657.5925925926,0.339088520055325
"ibaragi","concentration2_cluster_9_group_none",82.3003333333333,81.305,78.8566666666667,43.9793333333333,9.69433333333333,125161488.4992,503324345.9516,40446.24,0.328094315245478
"iceland06","concentration2_cluster_9_group_none",89.1556666666667,87.3193333333333,82.8093333333333,70.808,35.316,100975954.568077,657421510.695,20372.2307692308,0.476103668261563
"iceland07","concentration2_cluster_9_group_none",85.1393333333333,82.9523333333333,73.071,76.868,29.8876666666667,101554633.365769,546951727.509615,30569.8461538462,0.367327868852459
"india06","concentration2_cluster_9_group_none",86.6383333333333,84.948,81.9113333333333,68.4963333333333,25.0373333333333,75417639.7763636,416334795.740909,29267.0909090909,0.413131914893617
"india10","concentration2_cluster_9_group_none",81.9706666666667,80.981,77.0556666666667,33.2516666666667,6.178,172793905.896667,511747086.545,39524.4166666667,0.318904183535762
"india13","concentration2_cluster_9_group_none",86.942,86.1596666666667,81.672,50.6263333333333,19.448,96869997.344,571659330.2768,26380,0.438853223593964
