"bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","d_value","c1","c9","c11","c15","c16"
1154357.65506762,-10640548.0069245,2835915.21394614,-4262482.51546631,-22378283.5552736,4625229.64991958,68134.7882900236,231162.084754066,-3794359.23336979,-28513451.4466064
5648072.41262566,5189032.0865792,-416339.338357615,-2073053.66733226,-10012335.0723965,5475175.2653903,377208.77921137,-782024.191194069,-3253689.06902335,-23751815.9555068
336771.009211083,2622948.98467838,-307774.877650793,-1200887.72249916,-19238061.5242869,3022627.14465751,-537331.681836145,-186751.020921234,-256152.722883662,-20276401.5443963
-1214808.76815796,-2770376.03548187,-811569.727775304,216730.14675872,12966485.4761892,-2211403.76125302,263027.267021165,-411536.145330933,2017897.23283879,28768423.9082099
-1510739.00792424,-5155975.90149196,1382692.31756416,2230089.76359446,2966294.05156556,1144793.50708059,64029.270398312,-542096.144276636,3166199.15067466,-8782937.33967216
2964120.95914203,4882813.53307591,2232986.86869998,-1454322.8496045,-17386162.3202713,-2955391.24707227,-257191.587423605,544844.36173187,-3363426.26671217,-8245567.95045671
1881418.48646345,2568226.02783572,4140359.95299556,5638225.84007396,-11132592.8027652,1964469.89090787,280168.761280856,-532385.117755196,-1422221.5750156,20941758.2132312
1159727.44509982,6038138.28617743,-561161.439585465,-2190446.49121084,-27834013.695088,1991049.80893744,108392.767755938,226851.591103053,-4585948.71124534,-14949895.8356269
869603.708967167,2505323.11709299,-960844.612388429,897839.87015695,-14412867.2476832,-3189904.53676147,161590.534053498,-121626.507064195,-1892143.24161971,9874230.81692857
-2267485.45258686,157515.392312508,-1946822.94467536,2547503.35172938,13168975.9743874,-2172028.04614499,-41491.0964965599,-455066.577169337,2699874.95079791,11054244.4138363
-507117.279688162,-1952568.01942852,2114742.12001957,-2706170.55962482,-10349124.9000297,324166.424069508,-426114.798873997,-113565.574570694,-2758271.10693615,-17896932.7764254
3136719.45125723,4097799.52314044,1663281.43172192,-3245085.83262961,-12920806.2805116,2377344.88441914,-89720.7321446003,-263951.140614639,-5055586.4345097,-29972709.4076686
