"centralization_degree","bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c5","c7","c10","c11","c13","c14","c15","c16"
0.166651513117786,-0.722768753739591,0.0662219396588971,-0.113955719984101,1.1528420563047,0.248323504202318,2.14386742968476,-2.35088523152335,0.0606986921945229,0.227012247187439,0.433833699685049,-1.19789081155896,-0.300435548071429,-0.514795898267999,-0.650723935174389
-0.233624743731592,-0.426619442982054,0.155168850991135,0.0153352152688947,-0.441478290611731,0.266617574085739,5.79769519060234,-2.63135987549994,0.00550275884086414,-0.15658579161387,-0.182697007968798,-0.210087912211839,-1.54753853656595,-1.61294116520334,0.429506649593523
0.282590260745519,-0.338168806055232,0.0647043830555463,0.0261447603545443,0.184712820979623,0.0544133322231002,2.8435366209267,-2.5651399056325,0.0126926821104666,-0.215006394267041,0.098289349028745,-0.966234723129345,-0.392101707781776,-0.677156172677772,-0.334353436366983
0.320970844811781,0.850963593764915,0.00400557686105441,0.0534414379015439,0.518766543571354,0.216992101252609,-2.75622230188757,-0.700315243922192,-0.00265348983001351,0.00993281412993652,0.370830064643812,-1.25943069436484,2.62952009407986,0.957072360443613,-0.332620326714803
-0.166261308726479,0.181493587319953,-0.0504128338867535,-0.058094233364038,-0.55884682104312,0.144474658015156,2.03105332961867,0.68089953544436,-0.00343278270934952,-0.0346023896202988,0.0901626190247354,0.462820592743888,-1.09117987110017,-1.00682906652458,0.529856237952665
-0.760640437239136,-1.19231268262816,0.102711458013574,-0.0452477378834225,-0.677297156070294,0.116850154534357,2.67362777986385,2.94441615232574,0.0273049391951664,0.16983891810473,0.213405532518434,0.368690845485563,-1.53391536103603,-1.84266232097575,0.969035675323666
-0.177221266281706,-1.30159200079038,0.0344912334955427,-0.069971497554865,-0.173158547714551,0.208134108492764,2.20284137674599,-0.75571599515516,-0.100223743984066,0.347928669721575,0.0190153790397874,0.41178286787997,-1.01401967487499,-1.22956086619962,0.604433016660403
-0.169702623510673,0.456325197647121,0.00811837041308293,-0.0396107449404691,-0.521810652362931,0.213370361500054,4.20041505202723,0.538065721822198,0.0357829218619767,0.398313471487287,-0.159068850126623,0.639518084102147,-0.619494360987193,-0.839892691982782,0.887251183134941
-0.120350412400427,-2.08319879671949,0.13144448908153,-0.0240655746235113,0.769310111686891,0.258182532896528,1.30017190783595,-3.43174345947309,0.00960753035340792,-0.0266737555106706,-0.541765775875747,-0.140523137598485,-1.67337530479038,0.934375531170148,-0.503160167325751
-0.137367752857592,-1.73494062668273,0.103076619938223,-0.054691137924771,0.36620100546852,0.314773466174176,3.53918720508666,-3.4141129520104,0.012614187184297,-0.213689258205317,-0.563775818972928,0.0745076339602649,-1.87702835974313,-0.134902214221907,0.448742132118637
0.0327004162657654,-0.823372957183162,0.108901093474057,0.0410286835883903,0.102713918827325,0.00679616683512777,1.55103121958528,-3.32832499014604,-0.0303400151843338,-0.385216997617273,-0.11030010135273,-0.757033134238619,-1.51759500580378,0.400624333526417,-1.52015134400976
-0.18705295152947,-1.40871035213722,0.0990965897581341,-0.033342032254322,0.0412311841017991,0.247661238167364,3.00863975552607,-3.22931323952371,-0.0148147004177421,-0.433128720661258,-0.137912912979092,-0.409861619100594,-1.85382176885889,-0.567951605163354,-0.699542076736454
0.169496508124007,-0.194102248590582,0.0139646671064041,0.0143021955565437,0.203523182096554,0.0217084362455949,-0.476840700671747,-2.6715299914245,-0.0267035377216087,-0.518742549185929,-0.0796308169590413,-0.850675746191469,-0.566605850564512,1.47900038138511,-1.6201683321137
0.229001474124097,-0.152948677154577,-0.0155705934320188,0.0269095216660285,0.227520366573292,-0.218262045556538,-0.852635858850902,-3.12599997265877,-0.0084612933919323,-0.381241699433995,0.0439133033770286,-0.0191629508524415,-0.27107294138376,1.27415791933444,-1.1747888602932
0.235757259779904,0.225260379088188,0.0765983579866989,0.0915753129756362,0.433007710205746,-0.54917191549157,-2.47511004073759,-1.70113724469421,-0.0238112538583725,0.00155429722353473,0.0367341294778896,-1.49437924814311,1.46464036612374,0.956187654631146,-1.35253379912666
-0.148758562995658,-0.195001260225392,0.0851629647912336,0.0789284979352919,-0.0253570195019182,-0.157952029009636,-0.825228070699622,-1.90913466832782,-0.0654352073656432,0.143279155638832,-0.16146722082905,0.282149731183084,0.234611828707245,0.261742029343899,-0.627600752219883
0.162179258974106,-1.09802623007979,0.190077613466138,0.0214123056601841,0.434605839317281,0.344252292556472,-2.09519503242132,-1.4197091270317,-0.0674929864010481,-0.255800430738251,-0.574963561585096,0.558806063836564,-0.91510174075867,0.587717712216004,-0.851737451570738
0.0262399803992257,0.6008557883681,-0.0439262879045804,-0.0776415994154231,-0.0418364079017456,0.233830059919189,-1.69746527321456,3.41055554721134,-0.0944364066002805,0.242153660294082,0.323764358169591,0.427094976747325,0.355853532568491,-0.54071109206592,0.551470298595905
0.23121625147645,1.01570424620401,-0.0356001919983314,0.00961921141285935,0.915825057954256,-0.97151518485765,-1.85071693576453,-1.3814812028783,-0.0805011684811843,0.405118364627227,0.525592563455762,-0.535684840656865,2.94097343926913,1.27688398979964,0.144305194631923
0.254154046283895,0.685412930119166,-0.198907664969149,0.0129359105753299,0.20681718443274,-0.394109814945868,-0.12285961149769,-0.879896170629971,0.00606524120580974,0.0552363913972118,0.0195305802149685,0.629448727647611,1.26673411579803,0.685059633149595,0.312853205802758
0.224396559608348,0.482333070545659,-0.0850968315523121,-0.0323194081457077,0.398818824209638,0.24466441330303,2.60175921087638,-0.195422480867673,0.0486204985545108,0.488018462617583,0.298870693591196,0.760187143083484,1.80159083066687,0.119722031820914,0.764185916987115
