"centralization_degree","rosval_mean","c1","c5","c10","c13","c14"
2841824.90349836,-7879254.7826156,-5674126.15545235,-21439630.728433,-376003.238070252,-46925445.0495383,5678809.47264733
-14220141.4299533,-70528565.3788202,24376830.7819781,56557289.7626571,17016198.9987629,37427226.876777,-58572012.9447464
-1381599.05728725,-32138385.737989,29360604.7651953,39584507.3414433,18619713.4072356,38156642.4988812,-60499349.0500241
1510067.16192266,-20175319.3979997,15981398.1652906,-13997466.576895,9791481.85808707,-34225108.6987459,-10574512.7087454
1985898.35176686,5137536.44672373,-11545231.6309287,-18844413.3412137,2738072.83920705,-39446290.3233759,19781559.0244802
4365941.47312668,36695721.1150354,6256381.34947947,500717.768680213,12804397.4270895,-3264341.78497478,43468527.0498059
-94785.9822592681,-24929088.3180557,-16033157.530902,-21921832.1770619,-5422364.17979557,-8068832.12182547,-53431437.8270544
2252331.66061683,91841295.0577311,10604193.7995946,-34158326.9656283,7534430.43866829,-59045418.7143997,-11368459.2457299
-3163841.74528173,-35651079.6256371,10712104.9429521,-41128094.0036478,-5253469.52702376,-11096595.1694415,-64682894.1381647
3810259.24971642,15358360.4251194,-16859580.577268,-37241185.371054,-7033851.5018382,-47286359.2212834,-14215085.7593329
4292322.11599899,39382881.0525114,-11940678.5866796,-11086267.8418768,223841.411358151,-63434240.3251432,104162413.418469
-2196236.17206218,-44765859.0174692,1572308.35464677,11340563.5090897,-1129991.45802978,22823135.9516713,-44283700.0219091
-10219269.7029745,-57042128.7025564,11733169.6924117,42987870.8531961,5426408.10787651,16230453.7491627,-66664042.811497
-2396055.26208552,-17049654.0137153,12479914.154814,-12612893.7989344,11279163.3981752,18740303.2177719,-45359225.9736753
-2322931.79622391,-42656200.8851833,27220790.1098987,5200028.76825342,12999265.3538784,30681355.3788197,-28680375.6140779
-1577481.23856649,61868792.6532651,23707016.419597,-48550063.293901,-789779.336282514,-6260703.44029899,-65857896.4180684
-1833966.27139999,28619683.6568654,18641692.6846756,-50363602.2694068,-7075301.62318198,3386115.18219899,-76784287.5579958
436785.061845693,8156047.1487029,-37029896.6470454,-49444059.2919594,-12721782.7087759,-37490540.370108,-61642377.450732
-2485762.92227576,3825485.97161681,-21658554.6660018,-46662977.1052593,-14236435.0624929,-19871693.8460532,-73576645.583866
2265540.13737168,15704696.659439,-21077047.1192037,-40305124.1667688,-17169593.2737883,-42550195.2763275,-24120748.2409371
3048845.45189693,17893124.6168098,-15674474.309846,-47209786.4325174,-12620076.7495313,-1152080.38489498,-11651621.373507
3193894.784779,32501379.5060591,-1375265.44772425,-23389486.5385577,11064.7926804693,-74882743.9605291,57750002.2511893
-2034696.18206467,-1820216.95535839,6709380.78717752,-30147659.5387739,4685410.65097907,13850639.5099877,8817536.33403515
2139303.70433417,32874076.9263208,9043184.29731091,-22484188.1608173,-8560734.58547278,26810400.624983,-40310834.8380735
345930.124559291,-1957962.67335179,11532041.4378058,50297468.179945,8053818.88932105,21820597.8133685,16353677.213167
