"Map","Concentration","Distributed","abs_diff","higher_agent"
"myanmar11",0.279087943262411,0.278344680851064,0.000743,"Concentration"
"nara01",0.302659352142111,0.303324973876698,0.000666,"Distributed"
"philippines22",0.270051671732523,0.269435663627153,0.000616,"Concentration"
"tokyo12",0.318980113636364,0.318386363636364,0.000594,"Concentration"
"myanmar12",0.25733185840708,0.257858407079646,0.000527,"Distributed"
"burundi03",0.306878531073446,0.306423728813559,0.000455,"Concentration"
"myanmar14",0.2766459197787,0.277094052558783,0.000448,"Distributed"
"greece06",0.346554580896686,0.346108187134503,0.000446,"Concentration"
"tokyo03",0.383863572433193,0.384268635724332,0.000405,"Distributed"
"slovenia10",0.375651741293532,0.376023217247098,0.000371,"Distributed"
"indonesia63",0.296624509803922,0.29626862745098,0.000356,"Concentration"
"peru24",0.708924335378323,0.708635991820041,0.000288,"Concentration"
"myanmar03",0.270395833333333,0.270138888888889,0.000257,"Concentration"
"ishikawa",0.378197849462366,0.377961290322581,0.000237,"Concentration"
"myanmar15",0.289879738562091,0.290116339869281,0.000237,"Distributed"
"serbia02",0.323109722222222,0.323323611111111,0.000214,"Distributed"
"ukraine12",0.285419607843137,0.285633986928105,0.000214,"Distributed"
"cuba02",0.33226912568306,0.332062841530055,0.000206,"Concentration"
"india10",0.318904183535762,0.318699055330634,0.000205,"Concentration"
"austria20",0.338208092485549,0.338408477842004,2e-04,"Distributed"
"germany17",0.265639871382637,0.265789924973205,0.00015,"Distributed"
"myanmar13",0.267459064327485,0.267317251461988,0.000142,"Concentration"
"tokyo21",0.373168373151308,0.37303071672355,0.000138,"Concentration"
"belize01",0.305814814814815,0.305951646090535,0.000137,"Distributed"
"croatia07",0.334915535444947,0.334843137254902,7.2e-05,"Concentration"
"indonesia80",0.346532945736434,0.346587209302326,5.4e-05,"Distributed"
"congo10",0.362497512437811,0.362545273631841,4.8e-05,"Distributed"
"mongolia05",0.587277333333333,0.587306666666667,2.9e-05,"Distributed"
