"centralization_degree","bridges_ratio","getis_gi_degree_mean","rosval_mean","orientation_entropy","c1","c5","c8","c10","c13","c14","c15"
10951672.5298857,3612819.09508512,4660306.5736961,4135060.5866994,1882297.20459786,-16110374.1838389,-25184146.998431,-14671.2186714698,-6375854.97217056,-24581837.1726187,4468802.8171129,18705802.6489941
9608653.77585258,-13013380.8888371,-3176565.3932766,2308974.84838237,-10272326.7680507,-2209959.3810632,6273581.88948821,12519.1153335274,-1072571.09985193,7561046.15803618,21112227.9165666,45672427.7485141
8834471.77096985,-10321367.3736649,-1809333.66659679,3605979.5590554,3347308.98016333,17138451.1528033,-13902874.5631642,18077.9385586117,12128416.5182595,704562.37422474,28856691.4658646,-18702119.4748243
7093409.64633489,-418826.39184692,3285115.82203821,-6072726.68748494,3321779.27758201,-21345407.4949403,-18326704.5066646,13113.7375228308,2944834.1436844,2785276.27800097,-26126867.6869877,-25902827.0944613
8187285.87670611,-13424644.8300467,-53068.761759033,5704570.53523659,4140167.8610403,-14639548.2042944,-30085625.466978,22122.3963144027,7501407.99898313,-7589196.35229237,-14054496.1352043,-5029082.53162649
-515978.298620189,-5667542.53637392,5551127.94237706,-5038836.70458641,4007769.64915457,14891870.2643571,44926832.7161751,7595.32837083238,4483545.01479162,16553496.2843895,-15464276.731699,-25854981.1238656
4823144.07675721,-4772141.5459238,-7653640.73722482,-4277309.51736503,7026843.91082783,-15410125.8455013,-38351588.3290926,-8991.44395169035,-10409555.5243296,8575317.15226236,11012003.5675823,32691601.3357505
9135001.430509,-15624867.6833038,-5435702.65914543,12055618.6931792,9105807.9840254,-14991334.9847736,-3672401.5779129,-1493.29964818577,-6111626.27291993,6731998.24931149,94482525.5128845,59209485.0319872
4172013.03557297,-10610368.2061351,3589694.36799649,10471119.4204082,5773873.14571839,-28365913.6860823,43650442.8617238,-1745.40218024872,-3832750.82501063,-6450524.13421943,40156792.1560392,-1222171.53750376
10367346.8593191,-16264667.3502414,-3417658.77983801,11054066.6004956,-4354490.27698405,7177906.45866704,21364570.9489387,18668.0426122986,8390015.5152997,3703389.73594067,78091855.1655399,4848848.54619006
1474173.68258807,-11014679.6800168,2659388.73974427,-8218099.06251029,-1323427.91073742,7348553.78987785,78698252.5364815,8212.68652093337,1761478.92009217,-6689186.2048776,2823510.15976228,-8480597.75709932
8898160.73168731,-5914653.46504729,-2058121.94661179,-2433961.04500386,6255415.56835511,-5458040.6334806,-38667686.9789191,15504.8360780199,-335912.33779029,-20511497.3507432,3083364.52695286,3315818.68427762
-47120605.8550423,6791636.70503207,6536300.8087367,-23215607.9058874,1903112.5443193,22417432.0660428,92014280.8035273,14637.7244812731,12982966.6410931,16735129.976745,-46189827.2412528,-59354655.5424282
-4395191.85982495,34114353.1838982,-1003114.93120401,-11289679.8025584,-4424591.33418298,26710363.2535933,64102208.9337394,33474.5835219819,14104821.900072,16373580.1284671,-50184980.9718267,-49591517.1933564
