"Map","agent","final_alive","total_health","transport_rate","road_clear_rate","buried_rescue_rate","dist_per_rescue","dist_per_transport","total_buried_time","rsl21_rate"
"ecuador01","distributed",92.903,91.019,70.64,92.6156666666667,51.3156666666667,57677494.2561538,523716386.679231,20927.0384615385,0.595434871794872
"ejypt04","distributed",78.56,76.986,74.438,61.1053333333333,17.1493333333333,112176847.8448,372099310.9248,46562.32,0.250874666666667
"eritrea02","distributed",88.6673333333333,87.8613333333333,87.2186666666667,72.7943333333333,27.5563333333333,80740181.2557692,421496889.024231,18045.5384615385,0.487897435897436
"germany08","distributed",86.7526666666667,84.928,69.044,72.3933333333333,28.36,88726330.2679167,515575531.984167,32538.1666666667,0.41131102850062
"germany17","distributed",79.0143333333333,78.008,68.3893333333333,35.2923333333333,10.0763333333333,172612005.365185,547692279.035185,55352.2222222222,0.265789924973205
"greece06","distributed",83.1193333333333,82.3056666666667,68.219,41.343,10.845,164017017.865833,622876808.26,50627.9583333333,0.346108187134503
"greece22","distributed",84.2813333333333,83.3943333333333,55.3256666666667,55.8486666666667,13.6916666666667,143503195.451304,764033557.283913,48210.7826086957,0.368813218390805
"hukuoka01","distributed",91.1453333333333,89.767,75.7436666666667,81.118,35.6213333333333,74912704.5041667,608019404.592917,29018.4166666667,0.549521344232516
"hungary01","distributed",83.0976666666667,81.6876666666667,72.036,61.0223333333333,18.3133333333333,92409765.8107407,398993678.901482,35648.7777777778,0.336474412171508
"ibaragi","distributed",82.0933333333333,81.2113333333333,57.098,44.3116666666667,7.262,143045325.3644,520010308.5652,41179.4,0.325642118863049
"iceland06","distributed",89.0276666666667,87.265,78.793,77.8613333333333,39.717,88083882.12,595067282.900769,19783.0769230769,0.474344497607656
"iceland07","distributed",84.6476666666667,82.8153333333333,68.1346666666667,76.883,28.548,100204791.986538,579602009.373077,30603.4615384615,0.362871584699454
"india06","distributed",86.1856666666667,84.746,75.3153333333333,70.038,21.8693333333333,90414934.2840909,478686105.260909,29611,0.407141843971631
"india10","distributed",81.9573333333333,80.973,67.278,33.2456666666667,5.69,157354408.442083,601551741.86125,39665.1666666667,0.318699055330634
"india13","distributed",87.01,86.183,75.1483333333333,50.2826666666667,17.8733333333333,103161228.5096,585580464.5896,26664.4,0.439740740740741
"indonesia43","distributed",83.1006666666667,82.0573333333333,58.5006666666667,64.195,17.413,82656624.8211538,422956860.208077,50400.9615384615,0.341196705426357
"indonesia63","distributed",80.7553333333333,79.834,46.1546666666667,40.2186666666667,5.15233333333333,161293478.14625,687249815.436667,58182.375,0.29626862745098
