"degree_sd","bridges_ratio","assortativity","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c1","c5","c11","c15","c16"
-211253.091998171,-750655.981061838,-403005.298150482,-2807923.30791861,-1924886.52200725,735026.256004411,9293597.48026275,-4384776.1037867,-4040138.47867728,3716569.77366072,6394587.10124388,29999447.4644977
-493535.775030519,-2438412.03232797,-3602588.01467206,-1990019.30598973,5690158.13418326,955076.005688197,11197207.0769444,-4246239.7467387,-502460.871136997,-1074362.88882453,11647615.3389885,23697330.1747867
-401860.86421802,-1625639.27921153,-3667324.07175447,1328936.38615135,4934923.03717122,617688.48810675,7872542.24890678,-8017680.66483031,4760951.40356644,-1407413.82883842,161322.192080634,-6613648.25207351
-1284438.32536452,-2554002.54212765,-2063388.91758461,-1250931.87712232,5203611.45858077,-468210.634637103,1990102.74391405,2051971.06036417,1774177.74230509,-3202470.04305829,804662.385213942,-19866059.0085183
-231626.213280964,-1684427.11011315,-5493849.4408821,990895.799459722,-3699135.6065285,-129571.838018897,5022398.38831523,2193543.8179099,8442662.68034901,-257641.909329272,-1304620.9622151,-10914849.2344587
180154.209531702,-852361.235720637,-2015009.46841024,-742624.827163423,-984049.127403049,676407.221889279,4111477.50425492,-1394503.99570519,-3350181.69594782,-2453315.28404785,1392381.60536637,9944878.2410453
127241.573608727,1087498.76652306,-1123802.03909547,2416772.9179034,-10604080.3605117,207701.720333302,-13225396.4702754,6480460.20522942,9588810.44598822,1906199.32890646,-11322120.2030296,-26473575.8768253
-66308.2191848014,5327452.10151686,4715097.99012864,-352827.266265477,-4949500.74983535,-465910.723148096,-6045374.52108056,7706515.5313103,6532379.96643775,-6187592.34633251,-9535671.99619626,-21326995.7233153
321561.577425143,314304.079235595,997820.959137094,-265426.049973187,-2978521.4277389,-2506806.12477916,-11364700.3401096,4221433.60418731,-2176746.33177196,-1480369.37861065,-714169.132408722,-19170079.9225596
13822.827953481,-1129138.80372406,118444.307910082,-684200.626533114,636222.994316777,713438.402650988,7761791.35700989,-3035410.96512277,-3262649.75637984,-3272713.17806022,6321708.246148,28126489.3022022
-350154.804889246,-1423579.89758463,-2740672.44049438,1178464.64992759,5576361.06833675,-786867.063552834,1731680.47807848,1590562.73761807,-4241.89982481724,-4370134.3629598,9586417.41325247,-8257516.24983388
-206089.70799262,2782854.50512421,5212841.56123206,1898666.82719861,-3735297.50546892,796420.90453693,-10176013.526155,-4165528.25871028,-3512430.0318529,4338282.33913423,-10405188.987025,-8371549.0286297
246596.162336156,1769738.27083265,1374095.14597753,3529529.19916431,14081977.0816631,800401.467542767,-6471284.20323209,2723629.40245555,-5675863.16732429,-4309660.08494048,-4429345.39231019,19190156.3688122
50717.1547212202,1100964.60368275,3155753.40410091,-470800.887204472,-5443433.98826814,852409.582399653,-16094265.4654362,2812921.92410079,-6714727.23740061,1838074.87132379,-13831085.7663603,-12787530.5382124
-116065.569711425,818930.596155228,1337790.56466112,-818637.495678112,2194961.73490525,174647.742571638,-8347983.55618509,-4467572.19808521,-6247893.80502495,-1005235.70922404,-5854537.81688826,9170906.74072353
-876010.787014698,-2123837.16512462,-2457419.61719543,-1649282.7812868,6497162.8083322,703135.840875908,7834335.51989992,-2981525.84299954,-1475783.4516138,-3620094.67396337,8380441.66461971,11538145.271475
251769.966226644,-477655.41500055,-1688919.09110116,1802868.77835926,-6765929.87751652,473091.464280042,-6064638.98515776,456677.918485426,2015348.1639361,-904079.623501049,-8339383.67947796,-16622013.4813392
-107910.19037005,2954299.42284338,3079083.93994493,1416656.78996307,-7984987.3349314,388686.784646506,-7756751.53127107,3357726.31890358,7624181.60972921,-2042957.14665901,-15086965.7360176,-27872209.8279966
221180.103297175,3212602.27264275,5727694.30894108,2166270.66649124,-2123413.46300592,673348.971819386,-6736241.05474822,3397820.99338148,-1686812.11658017,-228075.606068322,-10405470.1944825,-19997472.2526457
-357130.367081698,-1106149.09896787,-416074.378907692,1225032.0133147,-6500384.64435031,677246.149561701,-11706043.9044965,7100836.25764145,932392.243394761,1567728.58535984,-7375249.82470291,-28563377.2248677
1120224.85598125,5174273.63277936,7493456.47785394,760681.832478963,9605836.88419555,841126.724538266,-3810129.57857229,6237150.67282976,-7884525.90783897,5360952.7995082,8371474.18105353,17743862.3669839
561695.992471655,4302284.68632084,7926000.89204063,1699267.46253049,4555370.74111494,1019167.39495684,-10220880.1310281,4917618.58784964,-8144908.55039567,5544834.58062956,-977004.724318925,-13665658.0777906
860825.40511121,2025226.08907138,4310949.54666108,-1289528.80872423,1065983.3157855,15354.5637670144,-4710909.56006477,-9736386.50623029,-8290218.9662917,1003698.52631572,3077293.38752725,44968868.7192156
921539.1082586,3498102.98715648,5974552.24854115,1038584.68130309,586786.939600126,801521.991586827,-8713971.03151355,-5628675.36335209,-7673964.8930813,1362513.92765683,-4671417.93933319,22673544.6933743
462440.532275003,461595.283817245,3226524.30770284,-458244.673245799,2333202.75125634,61256.9909041353,1100083.80555638,-5556146.15266861,-6746106.9376708,715500.751698434,12205025.3808426,48628165.347162
793495.572521755,381207.257369748,-446148.793398115,-842173.234181481,2657988.56665411,-707079.57007118,2415819.7741356,-4130555.65462567,-7881535.54733971,-466868.182421017,10597095.1244062,35611885.4291946
8075.92090821095,-635343.634744822,-994470.91381796,-2842304.93739134,5492407.37722739,-1748948.91104326,6273866.38666719,-216169.976953524,-3424885.26882421,-403074.953019582,8572835.24076609,42428691.2050069
578236.298669862,529694.079044432,5566552.27592187,-2446918.07590418,-447810.381206419,-523226.039569823,2898109.1264783,1708479.58876457,-5062063.91499686,1624710.23076899,1968900.41334312,20078846.7251802
243664.682664272,2723851.04927079,4113261.12272434,-673969.581489721,5129863.0250968,1100324.00651471,5819478.46908467,2339642.81777799,-3659261.40889768,5595252.4116665,4667789.3405335,24890314.9658039
-245178.727552683,-1459828.11033131,-2595312.54284294,2410186.62494724,-575286.359494147,744334.357976717,5388668.67907105,2893040.86621869,7994938.78361027,-3145457.67566247,-4748456.33966886,-17090690.8138577
-724757.59629248,-2502587.65996523,-2739484.63122679,-284493.55954518,11365725.4646381,-3123799.44095926,5671462.16415772,1483903.81445123,-3356081.78971961,-5096672.07467376,11002228.7201282,-2361982.65082973
53063.1012523503,-1670129.20808852,-4062644.41204975,-397652.759513986,2510951.06754878,-1271971.43936826,713866.62676644,3677709.5163024,-2383418.03501484,-162656.573653163,5741322.70513866,-9342387.46976254
-352155.206153694,-1203343.08352411,-2294359.71534507,996561.333301474,4781072.31540365,780437.259273158,-7482002.62839474,6442510.90598505,-659065.506087925,-2966735.45879309,767378.715160866,-25592783.4981631
-773589.297743488,-2207255.61765339,-4961024.19625639,-1048077.47649109,7620948.62420293,-104622.039245733,3588903.51176031,1112134.84514836,-3145650.79656081,-2260995.72201282,11592341.51987,-106013.099073189
-803935.661269551,-1692466.98859169,-1879267.92738215,1356719.62133265,7139237.43512332,-502445.351853941,-5570771.445384,7085626.67871106,-1068111.8400466,-5461643.81232078,5608079.93164487,-25999170.5182306
896260.416494553,1261159.52295726,-71130.8663291622,-1238948.0655332,-3957807.62319656,-710601.455161139,-8609448.46737918,-6214928.59567032,-5971982.5675215,3780590.02550219,-6647220.41621829,-5633490.05195973
870305.040937374,3673073.57787653,8173357.20680248,1964559.48955732,16178721.6838185,810683.493984587,995221.297955484,1057851.4108758,-6747460.18884475,9080894.77611071,4215299.61529421,35230298.1499858
11325.9085077342,653601.502109971,347652.737980643,970146.173819262,2691567.1072679,863247.581040075,-11871548.0743493,-877884.212216652,-6845220.6243065,-2188580.89870201,-9521365.74343829,-8674139.72941805
1203026.94989335,4752217.17451649,6373808.15040436,1754144.61218799,5896848.64535851,240668.027568927,-11798458.7733544,-3238742.17317781,-5271023.99221173,575793.679061458,-7361668.89598407,-17610620.0694084
204246.287592036,4632695.40927373,5399718.29195162,1088790.08314625,4648229.43774025,174686.870866047,-8615471.19790807,1972274.80115957,-5890248.34879707,-1898246.14411451,-7069215.01215673,-3220655.8659383
-166689.288244409,-1380338.60147809,-1813325.89748521,532810.881811017,-4234437.42457076,508987.140608017,-8052063.90649897,-2465768.45136158,8610838.55555363,-653123.593117547,-6694787.63659778,-29196788.4829332
266758.549838296,2481106.80814,4504105.20338928,-202993.486687545,-10728056.3359328,-1785336.97804951,-1105265.45150568,2496251.33905424,7874180.93782194,9269809.34846271,-9160913.62753582,-24267446.4836463
-95058.1876993793,-2111456.14829447,-3097574.19424219,-1575417.48010764,1343686.88881466,-2666110.76587021,10281677.2508544,-5621711.88639039,-504256.991645028,-510610.678097241,11503825.3471823,23117846.9750291
-234383.81534648,-1528852.89833226,-1955038.52848609,982248.530174776,-1699080.01669883,784074.898275126,11380279.1384559,-2209175.11686341,-106686.466848181,-2297469.38809423,5294092.50862303,20748110.6285301
288709.397843942,1096977.7386054,1427983.51734359,-1225500.55984893,-1893998.7501893,305913.714425679,-2186249.52711153,-433682.285207987,-996524.471930504,-210795.408715562,-4197319.97871225,-6932797.96167687
53671.0153226065,476534.887725649,-1448474.12225572,3352859.98606108,8307774.19671902,853782.781413756,3973137.00675834,5817844.72860169,-105581.526701923,-3465343.03048791,5094947.00013064,6851359.13021784
-97133.5759737689,2956057.65139867,2728548.6860249,-664667.521380093,5677535.97898715,1088343.50397777,-861702.50045124,3415528.28205514,255537.771315651,-1786976.28107732,-3213342.82153837,-11265694.9441096
244247.915918763,1831210.44215348,193326.288335432,676468.720455421,935230.306896183,885471.232568293,1033933.94890127,4387328.89709604,-2552007.69170483,-2269606.19117598,4647518.68535529,9411713.23665796
-725972.064291757,-2154028.6221788,-2671772.69969033,-1442238.77927876,-1620071.98860686,-1788744.98927986,16196585.1615498,-4427357.73783931,7680480.20544827,-500854.849889986,515941.592893803,-226095.946399019
-653209.120312982,-1773749.1013328,-2793145.34282753,-110799.237538317,8995276.3205747,1150041.14847038,2613950.9849483,3292781.33674999,-4671832.0162682,-5199935.78689176,11102681.344273,24822813.2448327
-230997.755958545,-1672679.16754481,-2584129.4365243,-1197238.50461766,1883840.92897061,811502.19342792,7778269.0074468,-9892813.67687685,-1432781.32792188,-1391806.1059672,3203250.83177813,17207027.3734859
-641797.227827741,-2037213.99473663,-2863397.47839528,-1333331.6239158,12259480.1343285,1068417.60765014,9910070.88143259,-8636226.47806161,-2915397.95165773,-4435177.38970777,13626442.2628273,30944174.0424711
-1073041.37361047,-1671397.46953297,-1325836.05745344,1182364.20706222,3294805.651414,735249.974888516,4418161.46380617,-2626706.89172754,9893966.88237708,-5352511.64980468,2744606.2922671,-22995427.1038409
-98860.5287978026,-1754411.79134388,-3372914.0722389,1024111.07339571,-4906541.89821113,35344.5982482921,5596278.24656781,-2159462.76271873,4621664.10720652,-671903.09179736,-2255556.0492119,-11489705.9169174
-1383767.54497875,-2670705.10375447,-694018.902777871,-199876.878162843,-1730515.2008393,703375.973476748,-2522374.52750851,-2748779.11702484,3514096.39488531,-455344.222014881,2004496.22470802,-17805575.6659283
82525.0335434287,-133748.146288283,-1510299.25639835,732887.99150339,-8100217.73392155,331802.652610896,7800183.28953988,3054806.66260817,10799447.342713,4488404.32807676,-7370589.57486111,-17040698.4374687
450294.874303862,2931917.70177158,3955983.7522173,5348846.57170662,-8089147.40062229,275968.514942946,-3990259.46144437,5080614.83981344,5927766.71364549,4379519.62559878,-7750260.82808192,-21553475.6390872
371799.633440125,-87759.9926478818,-741084.844109142,256088.650675839,-9163717.7772562,-43465.936222318,10236536.9818737,-2386986.33308261,6259450.27546319,9571149.35244813,-1819804.49650964,-2159470.33300055
-463200.81276016,-2309499.03556042,-3868392.41711923,970867.023312592,-192163.703186103,-1538697.91537081,-5141390.24535719,4232414.54476939,12204994.0790366,-4736893.94552365,-1906873.4053767,-28766243.6347472
-196198.108378357,-1828117.21535696,-2613614.81169989,2060097.73939672,-2118160.7230625,665370.275316978,-8673169.10774102,6069950.20406798,14122935.2769357,-4074014.19913415,-4525801.27493376,-31968000.0073844
-30497.8461195884,-1223124.31175334,-1046921.13454639,-2599628.65831769,464430.97226974,376782.17142998,6084710.40399767,1106478.62075608,-4404904.67510827,338960.199833021,3920828.74211811,16344403.0055181
