"degree_sd","centralization_degree","bridges_ratio","assortativity","rosval_mean","orientation_entropy","d_value","c5","c7","c9","c10","c11","c12","c14","c15","c16"
-3.95401334112358,338.742048532717,-978.254995587397,117.016040553707,1576.14672122127,-1006.05773109561,-1065.94588504615,4282.79793665031,-917.623554417556,-31.7349828187456,-181.960983184595,-2689.20209344913,-656.672545711708,2682.06718167397,905.033077731458,-464.49955965318
-2.70513305893809,267.868846860326,-2438.22853382446,207.85536362608,-1426.39759451307,548.121713301879,-5937.12256112656,-4940.28784837333,-978.871872967604,-193.783228426263,-537.206932390735,-3115.17687927844,-605.579242130968,-59.3532482105228,18268.4241952944,-8542.27876113215
-18.5909380150263,867.218136328262,-3552.27781074889,158.428581241232,508.771664866069,-132.463786649761,-6830.16150735512,1956.36752310894,-1786.48332649389,-214.888537034784,-878.474809896417,-5303.51789571369,-981.022954143583,8960.6253993962,3735.94489756406,-7513.73925949724
18.9939758090015,-1.11695121735211,-681.667051237744,310.923815377114,-1484.26764969389,3346.96939955156,-1908.62412350967,-11191.4186425469,-1329.83054104202,-112.825127541728,-923.474698803847,-4932.54079721329,-119.573808588755,-2159.44226771171,9033.30292689427,-6914.47734213089
2.22294396145974,-706.592035704289,-3551.51092597056,560.616105490948,-3409.36563874395,-552.175879996399,-7187.00568570874,-10454.0376066473,-1055.8165569389,317.304871461616,-657.996501064256,1075.95628572417,-1155.78240163502,-2352.37683778484,15169.7167621462,-8439.50554865936
-4.24726625246861,-1406.43760018685,-1811.79517557408,220.227069771689,-2312.44654733579,4159.19075445877,-1226.67649446773,-10355.2491692578,-675.821656714973,73.8673111286689,-122.644016065485,1025.7870923257,-114.300274598401,-4322.84031615706,10492.9861436871,-7501.31375140544
-0.0551457546355279,742.906221087212,-864.642451631698,-60.4968147416863,3167.2642813959,-1437.90640116023,1670.66002293082,5595.2382727974,-152.789536734883,125.883010366777,96.4324693094494,-940.372534671336,612.767077073896,7754.1991534396,-18180.6386502906,11150.8657540543
-2.94400561161828,659.481953048492,1135.30977315073,-91.1212316790415,625.091363576259,-281.744452298958,1000.15015999598,2043.46376002686,-331.222283939448,300.080716753904,534.593255927376,-1648.81354757719,2347.3285453893,598.54785627023,-5605.87660974803,2691.70585376267
-10.1037169473372,592.69145343733,-4063.18979946023,463.774549540901,366.964821143845,1499.2764743106,8772.06062733936,-747.981386926715,-466.837766513601,-176.226588539886,83.9387478600707,-254.52651558737,-351.826911415057,3083.80661700807,-13996.0498867079,5800.17455233722
-13.4482555098204,531.183888639728,-3119.78639655672,38.016784681428,561.61106663117,-476.585811213334,-5673.47006890708,1487.32482107395,-873.527418908821,-7.32028648614264,-1012.22411129601,-5339.15286508745,-725.71117735742,3991.32004415675,6888.44153019544,-7409.46463681673
