Map,agent,final_timestep,initial_rsl21,final_rsl21,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time
america35_27,concentration2_cluster_9_group_none,300.0,342.0,89.03,79.82,77.59,61.54,38.09,16.67,90889171.96,482679527.95,63263.0
croatia07_2,concentration2_cluster_9_group_none,300.0,221.0,71.18,81.9,81.33,100.0,34.97,2.38,274582847.03,819734949.01,37124.0
croatia07_2,distributed,300.0,221.0,71.18,81.9,81.33,0.0,33.29,2.38,239141199.57,0.0,37133.0
serbia02_18,distributed,300.0,240.0,90.33,84.17,83.9,0.0,35.09,2.56,346675251.71,0.0,34430.0
serbia02_18,concentration2_cluster_9_group_none,300.0,240.0,90.33,84.17,83.9,0.0,34.49,2.56,455915963.2,0.0,34394.0
austria32_18,distributed,300.0,327.0,134.56,87.16,84.99,81.82,72.24,22.0,90565794.17,402052597.77,39714.0
austria32_18,concentration2_cluster_9_group_none,300.0,327.0,124.34,85.32,83.84,61.54,76.71,26.0,78480294.21,541228115.11,39922.0
peru24_12,distributed,300.0,326.0,238.41,96.63,94.43,84.62,93.87,61.9,43368063.02,584298530.51,13328.0
peru24_12,concentration2_cluster_9_group_none,300.0,326.0,223.63,94.79,93.53,81.82,85.36,52.38,59440328.44,804287427.78,13924.0
philippines20_10,distributed,300.0,324.0,78.37,77.78,76.64,58.33,59.69,15.38,86612992.66,304947528.34,65193.0
philippines20_10,concentration2_cluster_9_group_none,300.0,324.0,77.35,77.78,76.38,71.43,62.31,17.95,66206843.76,233535811.59,64258.0
philippines30_6,distributed,300.0,290.0,79.51,80.0,78.58,58.33,57.75,19.35,74307525.91,384594788.82,50522.0
philippines30_6,concentration2_cluster_9_group_none,300.0,290.0,80.78,80.0,78.9,70.0,59.05,32.26,38375357.84,194446986.64,45906.0
peru17_2,distributed,300.0,334.0,213.86,93.71,92.38,62.5,90.22,32.0,97802046.38,1155340845.17,19367.0
peru17_2,concentration2_cluster_9_group_none,300.0,334.0,221.57,94.31,92.96,66.67,81.92,48.0,62421799.15,891990776.69,16483.0
tokyo21_26,distributed,300.0,293.0,113.37,84.98,84.26,0.0,29.25,2.22,237098819.46,1023923466.91,39863.0
tokyo21_26,concentration2_cluster_9_group_none,300.0,293.0,111.97,84.98,84.02,100.0,29.06,4.44,111961871.47,325025905.25,39208.0
okayama_9,concentration2_cluster_9_group_none,300.0,293.0,125.13,86.35,85.92,100.0,59.94,27.5,55720803.45,270640561.2,29891.0
okayama_9,distributed,300.0,293.0,125.83,86.69,85.95,75.0,63.27,40.0,46877547.49,290157266.06,28920.0
congo10_12,concentration2_cluster_9_group_none,300.0,335.0,140.15,85.97,85.6,0.0,34.06,8.7,58301228.09,0.0,39927.0
congo10_12,distributed,300.0,335.0,140.15,85.97,85.6,0.0,32.64,4.35,161069565.23,0.0,40604.0
slovenia06_13,distributed,300.0,320.0,119.46,84.38,83.69,60.0,58.46,19.61,82046859.57,760462787.09,41489.0
slovenia06_13,concentration2_cluster_9_group_none,300.0,320.0,117.91,84.38,83.43,66.67,56.45,23.53,65664511.12,525962217.64,40554.0
myanmar15_17,distributed,300.0,255.0,86.84,83.14,82.15,50.0,30.3,4.55,146610342.37,380306529.71,38580.0
myanmar15_17,concentration2_cluster_9_group_none,300.0,255.0,86.84,83.14,82.15,100.0,32.27,4.55,130627876.56,452878002.82,38115.0
italy16_11,distributed,300.0,214.0,79.53,85.51,83.33,80.0,79.92,26.32,60170416.61,397061080.88,29842.0
italy16_11,concentration2_cluster_9_group_none,300.0,214.0,79.35,85.51,83.29,70.0,72.89,26.32,55461997.28,467329963.24,30292.0
hungary01_18,distributed,300.0,241.0,108.28,87.55,86.66,60.0,55.05,16.13,84196401.35,494921934.49,25763.0
hungary01_18,concentration2_cluster_9_group_none,300.0,241.0,107.54,87.14,86.61,40.0,51.93,16.13,94542247.95,1179197751.77,25853.0
myanmar11_10,distributed,300.0,235.0,63.0,78.72,78.46,28.57,61.92,14.0,104170893.87,892372664.62,42292.0
myanmar11_10,concentration2_cluster_9_group_none,300.0,235.0,63.0,78.72,78.46,50.0,65.32,24.0,51856994.2,344785126.98,39701.0
chile03_2,distributed,300.0,319.0,107.07,82.76,81.95,85.71,43.51,12.5,119974592.43,562069117.92,47314.0
chile03_2,concentration2_cluster_9_group_none,300.0,319.0,111.23,83.7,82.49,100.0,43.33,17.86,84789466.98,435744017.32,46108.0
belize01_6,distributed,300.0,324.0,110.33,83.02,82.18,50.0,27.0,7.02,119572393.4,463905083.99,49364.0
belize01_6,concentration2_cluster_9_group_none,300.0,324.0,109.69,82.72,82.13,100.0,28.18,3.51,232293658.63,444071967.44,50140.0
austria22_29,distributed,300.0,315.0,108.72,83.81,82.26,71.43,58.38,12.73,144522188.1,648378636.29,46269.0
